Skeleton ID,Side Analyzed,Metopic suture present,Supraorbital foramen,Supraorbital notch,Infraorbital suture,Multiple infraorbital foramina,Zygomaticofacial foramina,Os japonicum present,Parietal foramen,Coronal ossicle,Bregmatic ossicle,Sagittal ossicle,Epipteric ossicle,Parietal notch ossicle,Occipitomastoid ossicle,Asterionic ossicle,Apical/Lambda ossicle,Lambdoidal suture ossicle,Os inca,Condylar facet double,Condylar canal present,Divided hypoglossal canal,Tympanic dihiscence,Mastoid foramen extrasutural,Mastoid foramen absent,Auditory exostosis present,Mental foramen multiple,Mylohyoid bridge present
"T61","Some of Both","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","0","2","2","0","0","0"
"T66","Some of Both","2","2","2","2","2","0","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","0","0"
"T67","Some of Both","0","0","1","0","0","0","0","1","2","0","2","0","0","0","0","2","2","0","0","1","1","0","1","0","0","0","0"
"T68A","Some of Both","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","2","0","0","2","2","0","0","2"
"T69A","Some of Both","2","2","2","2","2","2","2","2","2","2","2","2","0","2","2","0","2","0","0","1","0","0","2","2","0","0","0"
"T7","Some of Both","2","0","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","0","2","0","2","2","2","0","0","0"
"T73","Some of Both","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","2","2","2","1","0","0","0","0"
"T76","Left","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"T77","Left","0","0","1","2","2","0","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"T81","Some of Both","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0"
"T82A","Some of Both","0","2","2","2","2","2","2","2","0","0","2","2","2","2","2","2","2","2","0","2","1","0","2","2","0","0","0"
"T82B","Left","0","2","2","2","2","1","0","2","2","2","2","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"T83B","Some of Both","0","1","0","2","0","0","0","0","0","0","0","2","2","2","2","0","1","2","2","2","2","2","2","2","2","0","0"
"US15C","Right","0","0","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0"
"US31A","Some of Both","2","1","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","0"
"US36A","Left","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","0"
"US36C","Left","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","0"
"US36D","Some of Both","0","0","1","0","0","0","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"US505A","Right","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","0"
"US66C","Left","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","0"
"US66D","Right","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","0"
